Score
-101
-313
-225
-220
-296
-900
-327
-159
-116
-154
-305
-574
-368
-242
-191
-410
-411
-269
-281
-1056
-304
-195
-331
-379
-264
-522
-335
-131
-648
-526
-232
-657
-639
-392
-228
-214
-91
-321
-166
-221
-239
-139
-233
-261
-691
-253
-115
-311
-262
-215
-258
-587
-443
-379
-248
-159
-967
-131
-543
-196
-56
-335
-692
-452
-173
-602
-437
-395
-287
-203
-776
-412
-356
-216
-456
-270
-212
-178
-165
-246
-398
-938
-545
-812
-311
-371
-396
-527
-127
-377
-362
-385
-370
-284
-362
-570
-254
-265
-217
-523
-224
-137
-143
-678
-237
-260
-314
-379
-599
-263
-479
-333
-139
-504
-333
-56
-373
-427
-356
-249
-194
-261
-319
-997
-216
-364
-277
-218
-291
-305
-312
-336
-392
-408
-279
-467
-322
-415
-133
-405
-472
-134
-110
-476
-528
-148
-333
-422
-411
-260
-268
-277
-449
-255
-142
-456
-453
-311
-412
-140
-71
-350
-484
-385
-721
-134
-256
-439
-270
-391
-466
-383
-463
-274
-350
-265
-435
-98
-133
-231
-475
-44
-302
-277
-361
-630
-314
-126
-396
-1126
-379
-132
-404
-120
-283
-306
-495
-655
-206
-427
-537
-411
-338
-187
-268
-346
-193
-359
-926
-312
-558
-373
-456
-647
-532
-949
-263
-427
-349
-538
-461
-583
-514
-420
-487
-196
-959
-413
-204
-655
-456
-805
-631
-126
-262
-570
-386
-242
-295
-550
-306
-359
-371
-123
-238
-184
-115
-227
-32
-621
-317
-355
-328
-83
-214
-164
-75
-50
-44
-215
-312
-147
-156
-291
-470
-256
-757
-292
-468
-275
-318
-365
-266
-278
-460
-328
-152
-331
-217
-274
-127
-161
-206
-308
-244
-317
-81
-123
-175
-273
-222
-411
-319
-273
-97
-406
-475
-175
-279
-517
-302
-445
-268
-257
-129
-119
-209
-111
-380
-228
-355
-537
-299
-215
-243
-261
-427
-298
-338
-310
-153
-255
-288
-616
-265
-301
-170
-371
-72
-153
-132
-372
-612
-356
-525
-152
-69
-588
-454
-217
-198
-566
-545
-190
-210
-235
-454
-183
-120
-416
-215
-528
-332
-246
-102
-71
-281
-483
-511
-337
-253
-531
-271
-306
-282
-185
-352
-468
-357
-354
-254
-113
-333
-302
-211
-94
-241
-152
-153
-314
-286
-330
-171
-133
-199
-211
-399
-78
-188
-394
-172
-226
-145
-119
-212
-226
-325
-124
-215
-135
-102
-309
-144
-469
-177
-367
-298
-98
-216
-180
-190
-231
-510
-107
-321
-399
-257
-231
-209
-312
-313
-65
-72
-102
-473
-172
-283
-135
-205
-487
-277
-226
-423
-305
-269
-429
-125
-351
-95
-695
-292
-170
-306
-99
-74
-284
-253
-155
-323
-219
-184
-340
-209
-221
-267
-137
-122
-238
-164
-270
-278
-144
-166
-259
-175
-477
-85
-259
-298
-240
-246
-209
-85
-305
-200
-362
-290
-168
-441
-163
-135
-285
-380
-189
-298
-320
-169
-250
-147
-447
-338
-95
-288
-141
-247
-294
-307
-497
-303
-485
-497
-230
-194
-412
-229
-182
-359
-202
-181
-300
-175
-194
-251
-257
-123
-175
-386
-268
-368
-201
-305
-214
-348
-373
-365
-214
-256
-289
-218
-140
-141
